Created as New Dataset,CYN01208-6
cm-1,A
2200.00,0.0008
2199.00,0.0008
2198.00,0.0008
2197.00,0.0008
2196.00,0.0009
2195.00,0.0009
2194.00,0.0009
2193.00,0.0009
2192.00,0.0009
2191.00,0.0009
2190.00,0.0009
2189.00,0.0009
2188.00,0.0009
2187.00,0.0009
2186.00,0.0009
2185.00,0.0009
2184.00,0.0009
2183.00,0.0009
2182.00,0.0009
2181.00,0.0009
2180.00,0.0009
2179.00,0.0009
2178.00,0.0010
2177.00,0.0010
2176.00,0.0010
2175.00,0.0010
2174.00,0.0010
2173.00,0.0010
2172.00,0.0010
2171.00,0.0009
2170.00,0.0009
2169.00,0.0009
2168.00,0.0009
2167.00,0.0009
2166.00,0.0009
2165.00,0.0009
2164.00,0.0009
2163.00,0.0009
2162.00,0.0009
2161.00,0.0009
2160.00,0.0009
2159.00,0.0009
2158.00,0.0009
2157.00,0.0009
2156.00,0.0009
2155.00,0.0009
2154.00,0.0009
2153.00,0.0009
2152.00,0.0009
2151.00,0.0009
2150.00,0.0009
2149.00,0.0009
2148.00,0.0009
2147.00,0.0010
2146.00,0.0010
2145.00,0.0010
2144.00,0.0010
2143.00,0.0010
2142.00,0.0010
2141.00,0.0010
2140.00,0.0010
2139.00,0.0010
2138.00,0.0010
2137.00,0.0011
2136.00,0.0011
2135.00,0.0011
2134.00,0.0011
2133.00,0.0011
2132.00,0.0011
2131.00,0.0011
2130.00,0.0011
2129.00,0.0011
2128.00,0.0011
2127.00,0.0011
2126.00,0.0011
2125.00,0.0011
2124.00,0.0011
2123.00,0.0012
2122.00,0.0012
2121.00,0.0012
2120.00,0.0012
2119.00,0.0012
2118.00,0.0013
2117.00,0.0013
2116.00,0.0013
2115.00,0.0014
2114.00,0.0014
2113.00,0.0014
2112.00,0.0015
2111.00,0.0015
2110.00,0.0016
2109.00,0.0016
2108.00,0.0017
2107.00,0.0018
2106.00,0.0018
2105.00,0.0019
2104.00,0.0020
2103.00,0.0021
2102.00,0.0022
2101.00,0.0023
2100.00,0.0024
2099.00,0.0025
2098.00,0.0027
2097.00,0.0029
2096.00,0.0032
2095.00,0.0034
2094.00,0.0038
2093.00,0.0042
2092.00,0.0048
2091.00,0.0055
2090.00,0.0066
2089.00,0.0080
2088.00,0.0101
2087.00,0.0135
2086.00,0.0191
2085.00,0.0283
2084.00,0.0422
2083.00,0.0599
2082.00,0.0782
2081.00,0.0917
2080.00,0.0958
2079.00,0.0898
2078.00,0.0770
2077.00,0.0624
2076.00,0.0492
2075.00,0.0389
2074.00,0.0313
2073.00,0.0260
2072.00,0.0223
2071.00,0.0198
2070.00,0.0183
2069.00,0.0173
2068.00,0.0168
2067.00,0.0164
2066.00,0.0159
2065.00,0.0155
2064.00,0.0151
2063.00,0.0150
2062.00,0.0154
2061.00,0.0163
2060.00,0.0177
2059.00,0.0198
2058.00,0.0226
2057.00,0.0264
2056.00,0.0316
2055.00,0.0389
2054.00,0.0490
2053.00,0.0631
2052.00,0.0820
2051.00,0.1067
2050.00,0.1367
2049.00,0.1699
2048.00,0.2020
2047.00,0.2269
2046.00,0.2392
2045.00,0.2365
2044.00,0.2206
2043.00,0.1959
2042.00,0.1674
2041.00,0.1396
2040.00,0.1152
2039.00,0.0952
2038.00,0.0794
2037.00,0.0668
2036.00,0.0566
2035.00,0.0483
2034.00,0.0416
2033.00,0.0362
2032.00,0.0319
2031.00,0.0286
2030.00,0.0261
2029.00,0.0244
2028.00,0.0234
2027.00,0.0229
2026.00,0.0228
2025.00,0.0233
2024.00,0.0242
2023.00,0.0257
2022.00,0.0278
2021.00,0.0306
2020.00,0.0343
2019.00,0.0393
2018.00,0.0458
2017.00,0.0543
2016.00,0.0648
2015.00,0.0773
2014.00,0.0919
2013.00,0.1086
2012.00,0.1270
2011.00,0.1461
2010.00,0.1647
2009.00,0.1813
2008.00,0.1947
2007.00,0.2036
2006.00,0.2077
2005.00,0.2070
2004.00,0.2018
2003.00,0.1930
2002.00,0.1815
2001.00,0.1684
2000.00,0.1545
1999.00,0.1404
1998.00,0.1270
1997.00,0.1145
1996.00,0.1032
1995.00,0.0933
1994.00,0.0845
1993.00,0.0763
1992.00,0.0688
1991.00,0.0623
1990.00,0.0567
1989.00,0.0518
1988.00,0.0473
1987.00,0.0431
1986.00,0.0393
1985.00,0.0359
1984.00,0.0327
1983.00,0.0298
1982.00,0.0271
1981.00,0.0247
1980.00,0.0225
1979.00,0.0206
1978.00,0.0188
1977.00,0.0172
1976.00,0.0158
1975.00,0.0145
1974.00,0.0134
1973.00,0.0124
1972.00,0.0114
1971.00,0.0106
1970.00,0.0100
1969.00,0.0094
1968.00,0.0088
1967.00,0.0083
1966.00,0.0079
1965.00,0.0076
1964.00,0.0073
1963.00,0.0070
1962.00,0.0068
1961.00,0.0065
1960.00,0.0063
1959.00,0.0061
1958.00,0.0059
1957.00,0.0057
1956.00,0.0054
1955.00,0.0052
1954.00,0.0050
1953.00,0.0048
1952.00,0.0046
1951.00,0.0044
1950.00,0.0041
1949.00,0.0039
1948.00,0.0036
1947.00,0.0034
1946.00,0.0031
1945.00,0.0030
1944.00,0.0028
1943.00,0.0027
1942.00,0.0025
1941.00,0.0024
1940.00,0.0024
1939.00,0.0024
1938.00,0.0023
1937.00,0.0022
1936.00,0.0021
1935.00,0.0021
1934.00,0.0020
1933.00,0.0020
1932.00,0.0019
1931.00,0.0019
1930.00,0.0018
1929.00,0.0018
1928.00,0.0017
1927.00,0.0016
1926.00,0.0015
1925.00,0.0015
1924.00,0.0014
1923.00,0.0013
1922.00,0.0012
1921.00,0.0013
1920.00,0.0013
1919.00,0.0013
1918.00,0.0013
1917.00,0.0013
1916.00,0.0013
1915.00,0.0013
1914.00,0.0013
1913.00,0.0013
1912.00,0.0012
1911.00,0.0012
1910.00,0.0011
1909.00,0.0011
1908.00,0.0011
1907.00,0.0012
1906.00,0.0012
1905.00,0.0012
1904.00,0.0012
1903.00,0.0012
1902.00,0.0012
1901.00,0.0012
1900.00,0.0011
1899.00,0.0011
1898.00,0.0011
1897.00,0.0011
1896.00,0.0010
1895.00,0.0010
1894.00,0.0009
1893.00,0.0009
1892.00,0.0010
1891.00,0.0010
1890.00,0.0010
1889.00,0.0009
1888.00,0.0009
1887.00,0.0010
1886.00,0.0010
1885.00,0.0010
1884.00,0.0010
1883.00,0.0011
1882.00,0.0011
1881.00,0.0011
1880.00,0.0011
1879.00,0.0011
1878.00,0.0011
1877.00,0.0011
1876.00,0.0011
1875.00,0.0011
1874.00,0.0010
1873.00,0.0009
1872.00,0.0008
1871.00,0.0007
1870.00,0.0006
1869.00,0.0005
1868.00,0.0004
1867.00,0.0005
1866.00,0.0007
1865.00,0.0008
1864.00,0.0009
1863.00,0.0009
1862.00,0.0009
1861.00,0.0009
1860.00,0.0009
1859.00,0.0009
1858.00,0.0009
1857.00,0.0009
1856.00,0.0009
1855.00,0.0009
1854.00,0.0009
1853.00,0.0009
1852.00,0.0008
1851.00,0.0008
1850.00,0.0008
1849.00,0.0007
1848.00,0.0006
1847.00,0.0006
1846.00,0.0006
1845.00,0.0006
1844.00,0.0005
1843.00,0.0004
1842.00,0.0005
1841.00,0.0006
1840.00,0.0006
1839.00,0.0006
1838.00,0.0006
1837.00,0.0006
1836.00,0.0007
1835.00,0.0006
1834.00,0.0006
1833.00,0.0006
1832.00,0.0006
1831.00,0.0005
1830.00,0.0003
1829.00,0.0001
1828.00,0.0002
1827.00,0.0004
1826.00,0.0005
1825.00,0.0005
1824.00,0.0005
1823.00,0.0005
1822.00,0.0006
1821.00,0.0006
1820.00,0.0006
1819.00,0.0006
1818.00,0.0007
1817.00,0.0006
1816.00,0.0006
1815.00,0.0005
1814.00,0.0005
1813.00,0.0005
1812.00,0.0004
1811.00,0.0004
1810.00,0.0004
1809.00,0.0005
1808.00,0.0005
1807.00,0.0005
1806.00,0.0005
1805.00,0.0005
1804.00,0.0004
1803.00,0.0004
1802.00,0.0004
1801.00,0.0003
1800.00,0.0003
1799.00,0.0003
1798.00,0.0003
1797.00,0.0003
1796.00,0.0003
1795.00,0.0003
1794.00,0.0002
1793.00,0.0002
1792.00,0.0001
1791.00,0.0002
1790.00,0.0003
1789.00,0.0004
1788.00,0.0006
1787.00,0.0006
1786.00,0.0006
1785.00,0.0005
1784.00,0.0004
1783.00,0.0004
1782.00,0.0004
1781.00,0.0004
1780.00,0.0004
1779.00,0.0004
1778.00,0.0005
1777.00,0.0005
1776.00,0.0004
1775.00,0.0004
1774.00,0.0004
1773.00,0.0002
1772.00,-0.0000
1771.00,0.0000
1770.00,0.0003
1769.00,0.0005
1768.00,0.0007
1767.00,0.0007
1766.00,0.0007
1765.00,0.0007
1764.00,0.0007
1763.00,0.0007
1762.00,0.0005
1761.00,0.0004
1760.00,0.0004
1759.00,0.0005
1758.00,0.0006
1757.00,0.0006
1756.00,0.0006
1755.00,0.0005
1754.00,0.0005
1753.00,0.0005
1752.00,0.0003
1751.00,-0.0000
1750.00,-0.0002
1749.00,-0.0003
1748.00,-0.0003
1747.00,-0.0002
1746.00,-0.0000
1745.00,0.0001
1744.00,0.0002
1743.00,0.0002
1742.00,0.0004
1741.00,0.0005
1740.00,0.0005
1739.00,0.0004
1738.00,0.0004
1737.00,0.0005
1736.00,0.0007
1735.00,0.0004
1734.00,-0.0000
1733.00,-0.0002
1732.00,-0.0001
1731.00,0.0002
1730.00,0.0004
1729.00,0.0005
1728.00,0.0007
1727.00,0.0007
1726.00,0.0008
1725.00,0.0009
1724.00,0.0009
1723.00,0.0008
1722.00,0.0007
1721.00,0.0007
1720.00,0.0007
1719.00,0.0005
1718.00,0.0001
1717.00,-0.0002
1716.00,-0.0002
1715.00,0.0001
1714.00,0.0003
1713.00,0.0006
1712.00,0.0007
1711.00,0.0008
1710.00,0.0007
1709.00,0.0006
1708.00,0.0006
1707.00,0.0006
1706.00,0.0005
1705.00,0.0005
1704.00,0.0005
1703.00,0.0008
