Created as New Dataset,CYN02065-1, Fe2S2(CO)6
cm-1,A
2200.00,0.0006
2199.00,0.0007
2198.00,0.0007
2197.00,0.0007
2196.00,0.0007
2195.00,0.0007
2194.00,0.0007
2193.00,0.0007
2192.00,0.0007
2191.00,0.0008
2190.00,0.0008
2189.00,0.0008
2188.00,0.0008
2187.00,0.0008
2186.00,0.0009
2185.00,0.0009
2184.00,0.0008
2183.00,0.0008
2182.00,0.0008
2181.00,0.0008
2180.00,0.0008
2179.00,0.0008
2178.00,0.0008
2177.00,0.0008
2176.00,0.0008
2175.00,0.0008
2174.00,0.0008
2173.00,0.0008
2172.00,0.0008
2171.00,0.0008
2170.00,0.0009
2169.00,0.0009
2168.00,0.0009
2167.00,0.0009
2166.00,0.0009
2165.00,0.0009
2164.00,0.0009
2163.00,0.0009
2162.00,0.0010
2161.00,0.0010
2160.00,0.0009
2159.00,0.0010
2158.00,0.0010
2157.00,0.0010
2156.00,0.0010
2155.00,0.0010
2154.00,0.0010
2153.00,0.0010
2152.00,0.0010
2151.00,0.0010
2150.00,0.0011
2149.00,0.0011
2148.00,0.0011
2147.00,0.0011
2146.00,0.0012
2145.00,0.0012
2144.00,0.0012
2143.00,0.0012
2142.00,0.0012
2141.00,0.0011
2140.00,0.0011
2139.00,0.0011
2138.00,0.0011
2137.00,0.0011
2136.00,0.0010
2135.00,0.0010
2134.00,0.0011
2133.00,0.0011
2132.00,0.0011
2131.00,0.0011
2130.00,0.0012
2129.00,0.0012
2128.00,0.0012
2127.00,0.0012
2126.00,0.0013
2125.00,0.0013
2124.00,0.0012
2123.00,0.0012
2122.00,0.0013
2121.00,0.0013
2120.00,0.0013
2119.00,0.0013
2118.00,0.0014
2117.00,0.0014
2116.00,0.0014
2115.00,0.0015
2114.00,0.0016
2113.00,0.0016
2112.00,0.0016
2111.00,0.0017
2110.00,0.0018
2109.00,0.0019
2108.00,0.0019
2107.00,0.0019
2106.00,0.0021
2105.00,0.0021
2104.00,0.0022
2103.00,0.0023
2102.00,0.0025
2101.00,0.0026
2100.00,0.0027
2099.00,0.0029
2098.00,0.0031
2097.00,0.0033
2096.00,0.0035
2095.00,0.0039
2094.00,0.0044
2093.00,0.0051
2092.00,0.0060
2091.00,0.0078
2090.00,0.0116
2089.00,0.0203
2088.00,0.0386
2087.00,0.0691
2086.00,0.1068
2085.00,0.1353
2084.00,0.1375
2083.00,0.1136
2082.00,0.0804
2081.00,0.0532
2080.00,0.0365
2079.00,0.0270
2078.00,0.0204
2077.00,0.0152
2076.00,0.0114
